Origin,snowName,displayName,legacy,enabled
ISE,MI043 - USA MI - Ann Arbor (Accuri),"Ann Arbor, Michigan",false,true
ISE,MO019 - USA MO St.Louis,"St. Louis, Missouri",false,true
ISE,MYS02 - MYS Kuala Lumpur - Jalan Kerinchi,"Kuala Lumpur, Malaysia",false,true
ISE,MYS31 - MYS Kuala Lumpur - Damansara Heights,"Damansara, Malaysia",false,true
ISE,MYS32 - MYS Bayan Lepas - Penang,"Bayan Lepas, Malaysia",false,true
ISE,NC041 - USA NC - Four Oaks,"Four Oaks, North Carolina",false,true
ISE,NC042 - USA NC - Research Triangle Park,Research Triangle Park,false,true
ISE,NC043 - USA NC - Durham (Treyburn),"Durham (Treyburn), North Carolina",false,true
ISE,NC044 - USA NC - Burlington (Tripath Imaging),"Burlington, North Carolina",false,true
ISE,NC045 - USA NC - Durham (Tripath Oncology),"Durham (Tripath Oncology), North Carolina",false,true
ISE,NC046 - USA NC - Mebane,"Mebane, North Carolina",false,true
ISE,NE031 - USA NE - Holdrege,"Holdrege, Nebraska",false,true
ISE,NE032 - USA NE - Columbus (West),"Columbus (West), Nebraska",false,true
ISE,NE033 - USA NE - Broken Bow,"Broken Bow, Nebraska",false,true
ISE,NE034 - USA NE - Columbus (East),"Columbus (East), Nebraska",false,true
ISE,NJ032 - USA NJ - Morristown Flight Operations,"Morristown, New Jersey",false,true
ISE,NJ033 - USA NJ - Franklin Lakes,"Franklin Lakes, New Jersey",false,true
ISE,NJDEFAULT - Corporate HQ Franklin Lakes,"Franklin Lakes, New Jersey (Default)",false,true
ISE,NLD31 - NLD Drachten - Marconilaan,"Drachten, Netherlands",false,true
ISE,NOR01 - Norway Asker,"Asker, Norway",false,true
ISE,NZL02 - NZL Auckland,"Auckland, New Zealand",false,true
ISE,OK003 - USA OK - Mannford,"Mannford, Oklahoma (Legacy Carefusion)",true,true
ISE,PER31 - PER Ate - Lima,"Lima, Peru",false,false
ISE,PHL31 - PHL Taguig City - Manila,"Manila, Philippines",false,true
ISE,POL31 - POL Warsaw - ul. Osmanska,"Warsaw, Poland",false,true
ISE,POL32 - POL Wroclaw - Legnicka,"Wroclaw, Poland - Legnicka",false,true
ISE,POL32 - POL Wroclaw - Srubowa,"Wroclaw, Poland - Srubowa",false,true
ISE,PRI31 - PRI Cayey - Vicks Drive,"Cayey, Puerto Rico",false,true
ISE,PRI33 - PRI Cayey - Vicks Drive (BDB),"Cayey, Puerto Rico - Vicks Drive",false,true
ISE,PRI34 - PRI Juncos - Road 31,"Juncos, Puerto Rico",false,true
ISE,RTP,,false,false
ISE,RUS31 - RUS Moscow - Dvintsev Str,"Moscow, Russia",false,true
ISE,SAU31 - SAU Riyadh - New Aqaria Center,"Riyadh, Saudi Arabia",false,true
ISE,SC031 - USA SC - Sumter,"Sumter, South Carolina",false,true
ISE,SGP31 - SGP Tuas - Tuas Plant,"Tuas, Singapore - Plant",false,true
ISE,SGP32 - SGP Tuas - Tuas Avenue SEA,"Tuas, Singapore (SEA)",false,true
ISE,SGP33 - SGP Tuas - Tuas Avenue,"Tuas, Singapore - Tuas Avenue",false,true
ISE,SGP34 - SGP Tuas - Tuas Avenue RD,"Tuas, Singapore (RD)",false,false
ISE,SGP35 - SGP Biopolis District - Bioventure Centre,"Biopolis District, Singapore",false,true
ISE,SGP36 - SGP Asia Pacific Shared Service Center,"Asia Pacific Shared Service Center, Singapore",false,true
ISE,SGP37 - SGP Tuas - Tuas Avenue PDC,"Tuas, Singapore (PDC)",false,false
ISE,SGP38 - SGP Tuas - Tuas Plant BDB,"Tuas, Singapore (BDB)",false,true
ISE,SWE31 - SWE Helsingborg - Gasebacksvagen,"Helsingborg, Sweden",false,true
ISE,San Diego,,false,false
ISE,San Jose,,false,false
ISE,TUR31 - TUR Istanbul - Büyükdere Cad,"Istanbul, Turkey",false,true
ISE,TWN31 - TWN Taipei - Zhong Xiao E Rd,"Taipei, Taiwan",false,true
ISE,TX031 - USA TX - San Antonio,"San Antonio, Texas",false,true
ISE,TX033 - USA TX – Austin,"Austin, Texas",false,true
ISE,TX138 - USA TX El Paso,"El Paso, Texas (Legacy Carefusion)",true,true
ISE,US - San Diego,,false,false
ISE,US - San Diego PMG,,false,false
ISE,UT031 - USA UT - Sandy,"Sandy, Utah",false,true
ISE,VA030 - USA VA - Reston,"Reston, Virginia (Legacy Carefusion)",true,true
ISE,WI032 - USA WI - Franklin,"Franklin, Wisconsin",false,true
ISE,ZAF31 - ZAF Johannesburg - Woodlands Dr,"Johannesburg, South Africa (Legacy Carefusion)",true,true
Script,AL021 - USA AL - Birmingham - Vestavia,"Birmingham, Alabama",false,false
Script,ARE01 - ARE Dubai - Middle East,"Dubai, United Arab Emirates",false,true
Script,AUS01 - Seven Hills,"Seven Hills, Australia",false,false
Script,AUS32 - AUS Melbourne,"Melbourne, Australia",false,false
Script,AUS33 - AUS Adelaide,"Adelaide, Australia, Wayville",false,false
Script,AUS34 - AUS Perth,"Perth, Australia",false,false
Script,BEL01 - BEL Vilvoorde - Leuvensesteenweg,"Vilvoorde, Belgium, Leuvensesteenweg",false,false
Script,BEL02 - BEL Drogenbos - Humaniteislaan,"Drogenbos, Humaniteislaan, Belgium",false,false
Script,BGD31 - BGD Dhaka - Rupayan Karim Tower,"Rupayan Karim Tower, Dhaka, Bangladesh",false,false
Script,BRA10 - BRA Cotia - Parque Industrial San Jose,"Parque Industrial, San Jose",false,false
Script,BRA34 - BRA Curitiba - Rua Ciro Correia Pereira,,false,false
Script,CA150 - USA CA - Yorba Linda,,false,false
Script,CA151 - USA CA - Palm Springs,,false,false
Script,CA170 - USA CA - Carlsbad CF Aviation,,false,false
Script,"CA175 - USA CA - Ontario, Wall Street",,false,false
Script,CAN33 - CAN Mississauga - Tech Avenue,"Mississauga, Ontario (Legacy Carefusion)",true,true
Script,CHN03 - CHN Shanghai Times Square,"Shanghai, China",false,false
Script,CHN11 - CHN Shenzhen - KTL,,false,false
Script,CHN13 - CHN Beijing - Fengtai District,,false,false
Script,CHN31 - CHN Guangzhou - Jie Tai Plaza,"Guangzhou, China",false,true
Script,CHN38 - CHN Nanjing - Int'l Finance Centre,,false,false
Script,CHN39 - CHN Shenyang - China Res Bldg,,false,false
Script,CHN40 - CHN Tianjin - The Exchange 1,,false,false
Script,CHN41 - CHN Xian - Kaiai Mansion,,false,false
Script,CHN42 - CHN Wuhan - New World Int'l Trade Centre,,false,false
Script,CHN43 - CHN Chongqing - Metropolitan Tower,,false,false
Script,CHN44 - CHN Changsha - Hunan Province,,false,false
Script,CHN45 - CHN Zhengzhou - Yuda China World Trade Center,,false,false
Script,CHN46 - CHN Kunming - Brilliant Plaza,,false,false
Script,CO101 - USA CO - Golden,,false,false
Script,DEU05 - DEU Baesweiler - Pascalstrasse,,false,false
Script,DEU07 - DEU Hoechberg - Leibnizstrasse,,false,false
Script,DEU31 - DEU Plattling - Dr. Wandinger-Strasse,,false,false
Script,EDC01 - production eDC (Konterra),,false,false
Script,EDC02 - non-production eDC (Zanker),,false,false
Script,ESP02 - ESP Madrid - Edificio Veganova,,false,false
Script,ESP08 - ESP Algete - Rio Manzanares,,false,false
Script,ESP12 - ESP Malaga - Camino de Casabermeja,,false,false
Script,FIN01 - FIN Vantaa - Ayritie,,false,false
Script,FIN02 - FIN Helsinki - Kuortaneenkatu,,false,false
Script,FL115 - USA FL - Maitland,,false,false
Script,FRA01 - FRA Chateaubriant - bis rue de la Renaissance,,false,false
Script,FRA08 - FRA Voisins le Bretonneux,,false,false
Script,FRA32 - Rungis Cedex - Bâtiment Londres,"Rungis Cedex, France",false,true
Script,GA066 - USA GA - Tucker,,false,false
Script,GBR10 - GBR Basingstoke - The Crescent,,false,false
Script,GBR18 - GBR Sheffield - Albreda House,,false,false
Script,GBR19 - GBR St. Albans - North Orbital Commercial Park,,false,false
Script,HKG01 - Hong Kong,,false,false
Script,HUN01 - HUN Budapest - Dobrentei,,false,false
Script,IDN31 - IDN Jakarta - Sudirman Square Office Towers,"Jakarta, Indonesia",false,true
Script,IL060 - USA IL - Oak Forest,,false,false
Script,IL062 - USA IL - Waukegan McGaw Pk KB,,false,false
Script,IL064 - USA IL - Waukegan McGaw Pk MB,,false,false
Script,IL065 - USA IL - Waukegan McGaw Pk WM,,false,false
Script,IL066 - USA IL - Waukegan MWDC,,false,false
Script,IL067 - USA IL - Waukegan McGaw Pk KBD,,false,false
Script,IND01 - IND Hyderabad - APHB (IT),,false,false
Script,IND20 - Gurgaon,,false,false
Script,IND21 - IND New Delhi - Saket District Ctr,,false,false
Script,IND32 - IND Rewari - Bawal,,false,false
Script,IND33 - IND Mumbai - Chandivali Farm Road,,false,false
Script,IND34 - IND Bangalore - Cornich Al-Latheef,,false,false
Script,IND35 - IND Kolkata - Naya Patty Pachimpara,,false,false
Script,ITA01 - ITA Cornaredo - Via Brera,,false,false
Script,JPN03 - JPN Bunkyo-ku - Koishikawa,,false,false
Script,JPN31 - JPN Fukuoka-shi - Hakata-ku,,false,false
Script,JPN32 - JPN Hiroshima-shi - Naka-ku,,false,false
Script,JPN34 - JPN Kobe-shi - Distribution Center,,false,false
Script,JPN35 - JPN Nagoya-shi - Naka-ku,,false,false
Script,JPN37 - JPN Sapporo - Chuo-ku,,false,false
Script,JPN40 - JPN Tokyo Shinagawa-ku - Osaki CSC,,false,false
Script,KOR31 - KOR South Korea - Daegu,,false,false
Script,KOR33 - KOR South Korea - Gwangiu,,false,false
Script,KOR35 - KOR South Korea - Gyeongsangbukdo - Dabu,,false,false
Script,KS015 - USA KS - Leawood Tomahawk Crk,,false,false
